ru,en,predictions,comet_score
Материалы и методы.,SUBJECTS AND METHODS,Материалы и методы.,0.9897995591163635
Результаты и обсуждение.,RESULTS AND DISCUSSION,Результаты и обсуждение.,0.9897789359092712
Материал и методы.,MATERIAL AND METHODS,Материал и методы.,0.9889257550239563
Вывод,Conclusion,Вывод,0.9877915382385254
Заключение.,CONCLUSION,Заключение.,0.9865033030509949
Результаты и заключение.,RESULTS AND CONCLUSION  Cerebrolysin improved cognitive test scores.,Результаты и заключение.,0.9863215684890747
Материал и методы.,"to analyze the structure, risk factors, and causes of ischemic optic neuropathy (ION).  MATERIAL AND METHODS",Материал и методы.,0.9859715104103088
Результаты.,RESULTS,Результаты.,0.9858169555664062
Материал и методы.,AIM,Материал и методы.,0.985220730304718
Цель исследования.,[A strategy for increasing the efficiency of psychopharmacological treatment of hyperkinetic behavior disorder with pantogam].,Цель исследования.,0.9824895262718201
Цель исследования.,[Quality of life in patients with lower extremity atherosclerosis during standard treatment and therapeutic angiogenesis].  AIM,Цель исследования.,0.9821467399597168
Цель исследования.,[Microcirculatory parameters in compensated and decompensated type 2 diabetes mellitus].,Цель исследования.,0.9818835258483887
Материал и методы.,To improve the results of treatment of late inflammatory complications after injection contour plasty with polyacrylamide gel.  MATERIAL AND METHODS,Материал и методы.,0.9818633794784546
Цель исследования.,[Alcohol withdrawal syndrome dynamics during treatment with nooclerin (deanoli aceglumas)].,Цель исследования.,0.9816505312919617
Цель исследования.,[Assessment of clinical manifestations and treatment of post-stroke depression in young patients with ischemic stroke].,Цель исследования.,0.9816446900367737
Цель исследования.,[The use of neipilept in treatment of asthenic syndrome].,Цель исследования.,0.9816001057624817
Цель исследования.,[Dynamics of clinical and biological indices of the asthenic symptom-complex during immunotropic therapy of patients with schizophrenia].,Цель исследования.,0.981560468673706
Цель исследования.,[The use of cytoflavin in the acute period of hemorrhagic stroke].,Цель исследования.,0.981227457523346
Цель исследования.,[Prognostic significance of indices of platelets aggregation and interleukin-1β in the acute period of ischemic stroke].,Цель исследования.,0.9809163808822632
Цель исследования.,[Treatment for ventricular arrhythmias in the absence of structural heart disease: from guidelines to clinical practice].,Цель исследования.,0.980828583240509
Цель исследования.,[The association of intrathecal production of immunoglobulin free light chains and progression of multiple sclerosis].,Цель исследования.,0.980392575263977
Цель исследования.,[A 20-year prospective follow-up study to evaluate the development of retinopathy and nephropathy after the onset of type 1 diabetes mellitus: Contribution of glycemic control and metabolic memory].,Цель исследования.,0.980155348777771
Цель исследования.,[Effect of cytokine genes and season of birth on personality].,Цель исследования.,0.9789541363716125
Цель исследования.,[Clinical diagnosis of proximal occlusion of a major cerebral artery in the very early stage of ischemic stroke].,Цель исследования.,0.9784303903579712
Цель исследования.,[Annual blood pressure dynamics and weather sensitivity in women].,Цель исследования.,0.9778611063957214
Цель исследования.,[CYP7A1 gene polymorphism and the characteristics of dyslipidemias in patients with nonalcoholic fatty liver disease concurrent with hypothyroidism].  AIM,Цель исследования.,0.9777033925056458
"Проводилось клиническое, молекулярно-генетическое и лабораторное исследования.","The clinical, molecular-genetic and laboratory study was conducted.","Было проведено клиническое, молекулярно-генетическое и лабораторное исследования.",0.9739378094673157
Материалы и методы.,MATERIAL AND METHODS,Материал и методы.,0.9722986817359924
Материалы и методы.,AIM,Материал и методы.,0.9633030295372009
